Time (hours),Sum of Glucose,Batch
5.026666666672099,3.79,20230524_0902_BR-1210
5.02791694435291,4.460000038146973,20221117_0815_BR-1210
5.032013888878282,5.949999809265137,20230111_0653_BR-1210
5.172361944511067,3.9700002670288086,20230824_0925_BR-1210
5.283471944450866,3.25,GP_241022_BR1210
5.30013861117186,3.6499998569488525,20221117_0815_BR-1210
5.339028333371971,3.1600003242492676,20230824_0925_BR-1210
5.370972222124692,3.5,20240516_0838_BR-1210
5.371111111133359,3.29,20240306_0847_BR-1210
5.380694444349501,3.7300002574920654,20230504_0839_BR-1210
5.407083333295304,3.2699997425079346,GP_241009_BR1210
5.4246538889128715,2.990000009536743,GC_240730_BR1210
5.475138611043803,3.2699997425079346,20230307_0737_BR-1210
5.4778477778309025,3.3399999141693115,20221115_0832_BR-1210
5.502916666679084,2.819999933242798,20231023_1358_BR-1210
5.529374722216744,4.900000095367432,20221028_0906_BR-1210
5.541805277753156,3.319999933242798,20240502_0858_BR-1210
5.559999999997672,2.02,20230524_0902_BR-1210
5.571112222212832,3.750000238418579,GC_240625_BR1210
5.573888888815418,2.58,20240306_0847_BR-1210
5.579653888999019,3.2200000286102295,GP_240702_BR1210
5.640416666690726,2.5399999618530273,20221117_0815_BR-1210
5.652917500119656,2.0999999046325684,20230824_0925_BR-1210
5.68194444430992,2.14,20230615_0848_BR-1210
5.705209722218569,2.319999933242798,GC_240730_BR1210
5.722361111082137,2.2300000190734863,20240516_0838_BR-1210
5.7336111111799255,1.33,20230524_0902_BR-1210
5.745972777775023,2.5899999141693115,GP_241022_BR1210
5.752916388795711,4.929999828338623,20230111_0653_BR-1210
5.7654166665743105,2.5,20230504_0839_BR-1210
5.768055555643514,2.43,20240111_0851_BR-1210
5.777916388877202,2.430000066757202,20240502_0858_BR-1210
5.79749999998603,1.73,20240306_0847_BR-1210
5.807084444502834,1.4600000381469727,20230824_0925_BR-1210
5.809930277697276,1.649999976158142,20240516_0838_BR-1210
5.812154166691471,2.3199999332428,GC_240730_BR1210
5.812638888834044,1.9600000381469727,20230307_0737_BR-1210
5.829305277729873,1.5299999713897705,20231023_1358_BR-1210
5.84041666664416,1.8799999952316284,20221117_0815_BR-1210
5.843194444372784,2.0999999046325684,GP_241009_BR1210
5.866666666581295,1.53,20230615_0848_BR-1210
5.926388888969086,1.6,20240111_0851_BR-1210
5.969653055537492,3.759999990463257,20221028_0906_BR-1210
5.996041944483295,1.5199999809265137,20230504_0839_BR-1210
6.025139722391032,1.559999942779541,20221115_0832_BR-1210
6.061598333297297,1.840000033378601,GP_240702_BR1210
6.102916388888843,0.793999969959259,20230307_0737_BR-1210
6.110001111170277,1.9900000095367432,GC_240625_BR1210
6.118333333404735,0.53,20230524_0902_BR-1210
6.244653055560775,5.730000019073486,20230518_0856_BR-1210
6.27104166650679,0.7450000047683716,20240516_0838_BR-1210
6.312638888892252,0.7149999737739563,20221115_0832_BR-1210
6.316805277834646,3.9000000953674316,20230111_0653_BR-1210
6.322361111117061,0.4569999873638153,20231023_1358_BR-1210
6.33361111121485,0.07,20230524_0902_BR-1210
6.352986111072823,2.569999933242798,20221028_0906_BR-1210
6.478820555610582,0.7900000810623169,GC_240730_BR1210
6.712848611176014,0.6159999966621399,GC_240625_BR1210
6.726527499966323,2.859999895095825,20230111_0653_BR-1210
6.727986388897989,5.090000152587891,20230518_0856_BR-1210
6.754166666592937,0,20230615_0848_BR-1210
6.775208055507392,1.059999942779541,20221028_0906_BR-1210
6.80152749986155,0.009999999776482582,20231023_1358_BR-1210
6.815486388921272,0,20230504_0839_BR-1210
6.908541666576639,0.003000000026077032,20221117_0815_BR-1210
6.914027777791489,2.359999895095825,20230111_0653_BR-1210
7.134860833233688,1.7000000476837158,20230111_0653_BR-1210
7.1348611112334765,0.7149999737739563,20221115_0832_BR-1210
7.159930277732201,0.07500000298023224,20240516_0838_BR-1210
7.191805277718231,0.006000000052154064,20230307_0737_BR-1210
7.225208333227783,0.6629999876022339,20221028_0906_BR-1210
7.226737500051968,0.007000000216066837,GC_240625_BR1210
7.2515972223482095,4.349999904632568,20230518_0856_BR-1210
7.29000138893025,0.5400000214576721,GC_240730_BR1210
7.333472222147975,0.009999999776482582,20231023_1358_BR-1210
7.790001388813835,0.7799999713897705,GC_240730_BR1210
7.83631944435183,0.003000000026077032,20221117_0815_BR-1210
7.850208333344199,0.009999999776482582,20231023_1358_BR-1210
7.893264166661538,3.0999999046325684,20230518_0856_BR-1210
7.946181944513228,0.007000000216066837,GC_240625_BR1210
8.139027777942829,0.7149999737739563,20221115_0832_BR-1210
8.202986111165956,0.006000000052154064,20230307_0737_BR-1210
8.239027499919757,0.007000000216066837,20230111_0653_BR-1210
8.275208333332557,2.059999942779541,20230518_0856_BR-1210
8.319652777689043,0.009999999776482582,20231023_1358_BR-1210
8.377986111212522,1.7300000190734863,20230518_0856_BR-1210
8.855763888917863,0.009999999776482582,20231023_1358_BR-1210
8.865485833317507,0.012000000104308128,20221117_0815_BR-1210
9.080763888952788,0.7149999737739563,20221115_0832_BR-1210
9.184930277697276,0.006000000052154064,20230307_0737_BR-1210
9.241875000006985,0.29600000381469727,20230111_0653_BR-1210
9.307152777677402,0.009999999776482582,20231023_1358_BR-1210
9.77381916664308,0.009999999776482582,20231023_1358_BR-1210
10.121041666832753,0.7149999737739563,20221115_0832_BR-1210
10.290486111072823,0.006000000052154064,20230307_0737_BR-1210
10.402986111177597,0.7429999709129333,20230111_0653_BR-1210
10.412777499994263,0.009999999776482582,20231023_1358_BR-1210
10.809999722172506,0.009999999776482582,20231023_1358_BR-1210
10.875277500017546,0.009999999776482582,20231023_1358_BR-1210
11.012778055504896,0.014999999664723873,20221028_0906_BR-1210
11.162777499994263,0.006000000052154064,20230307_0737_BR-1210
11.212708333390765,0.008999999612569809,20230111_0653_BR-1210
11.287777499877848,0.009999999776482582,20231023_1358_BR-1210
11.354444444412366,0.009999999776482582,20231023_1358_BR-1210
11.77249999990454,0.009999999776482582,20231023_1358_BR-1210
11.851666388916783,0.009999999776482582,20231023_1358_BR-1210
12.133611111086793,0.006000000052154064,20230307_0737_BR-1210
12.20444416673854,0.008999999612569809,20230111_0653_BR-1210
12.289166388858575,0.009999999776482582,20231023_1358_BR-1210
12.35583333321847,0.009999999776482582,20231023_1358_BR-1210
12.780833055556286,0.009999999776482582,20231023_1358_BR-1210
12.850277499994263,0.009999999776482582,20231023_1358_BR-1210
13.194721944455523,0.008999999612569809,20230111_0653_BR-1210
13.22118055546889,0.006000000052154064,20230307_0737_BR-1210
13.29340249998495,0.009999999776482582,20231023_1358_BR-1210
13.362847222248092,0.009999999776482582,20231023_1358_BR-1210
13.779513888875954,0.009999999776482582,20231023_1358_BR-1210
13.853124722081702,0.009999999776482582,20231023_1358_BR-1210
14.214235833263956,0.008999999612569809,20230111_0653_BR-1210
14.280902777798474,0.009999999776482582,20231023_1358_BR-1210
14.35312472213991,0.009999999776482582,20231023_1358_BR-1210
14.390625,0.03400000184774399,20230307_0737_BR-1210
14.78368027776014,0.009999999776482582,20231023_1358_BR-1210
